,XLV,XLI,XLU,XLK,AFTY,FAUS
10/31/16,64.243721,53.893475,44.759308,45.388035,12.307047,25.54813
11/1/16,63.900364,53.431881,43.944344,44.995613,12.343458,25.54813
11/2/16,63.56657,53.234047,43.391983,44.708469,12.307047,25.54813
11/3/16,62.965706,53.149265,43.554981,44.277752,12.307047,25.505051
11/4/16,63.404434,53.196365,43.419147,44.201187,12.379869,25.505051
11/7/16,65.025772,54.505791,44.179775,45.158337,12.443589,25.505051
11/8/16,65.206993,54.835495,44.523872,45.378475,12.443589,26.427025
11/9/16,67.505486,56.210857,42.884907,45.321049,12.405357,26.237459
11/10/16,68.249397,57.407238,41.852619,44.593609,12.28884,25.5826
11/11/16,67.228912,57.510857,41.680565,44.727612,12.388971,25.5826
11/14/16,67.019081,57.755787,41.653404,44.048035,12.388971,25.5826
11/15/16,67.209831,57.972454,42.323486,44.670185,12.297943,25.57398
11/16/16,66.923714,57.642742,42.033718,45.081757,12.28884,25.09145
11/17/16,67.190758,57.765209,42.042778,45.368908,12.28884,24.608923
11/18/16,66.475464,57.746361,41.916008,45.33062,12.197811,24.807106
11/21/16,66.71389,58.057236,42.359703,45.790047,12.370767,24.807106
11/22/16,65.750626,58.320999,42.522697,45.933624,12.489103,24.910505
11/23/16,66.008125,58.754341,42.097111,45.75177,12.48,24.910505
11/25/16,66.26564,59.074631,42.703796,45.943203,12.698468,24.910505
11/28/16,65.769684,58.669559,43.527813,45.981483,12.776753,24.910505
11/29/16,66.198883,58.71666,43.70892,46.010201,12.998862,24.910505
11/30/16,65.569412,58.792015,42.332542,45.464622,12.816805,25.108685
12/1/16,65.092529,59.178246,41.997509,44.526615,12.908744,25.108685
12/2/16,65.24514,59.168835,42.377823,44.689327,12.857768,25.151773
12/5/16,65.130707,59.121727,42.432144,45.120045,12.680264,25.151773
12/6/16,65.311913,59.234776,42.350655,45.254047,12.655684,25.151773
12/7/16,64.749191,60.336945,42.903008,46.115486,12.643851,25.815245
12/8/16,64.873169,59.997822,42.975456,46.230343,12.633838,25.591215
12/9/16,65.664787,60.271008,43.428204,46.56535,12.797689,25.591215
12/12/16,65.979523,60.054333,43.880962,46.421772,12.616543,26.047894
12/13/16,66.513611,59.969563,44.333717,47.00563,12.57103,26.047894
12/14/16,66.170258,59.366653,43.419147,46.842918,12.716674,26.047894
12/15/16,66.599442,59.432594,43.727024,47.053497,12.250608,26.047894
12/16/16,66.652138,59.313175,44.260052,46.713161,12.081178,26.047894
12/19/16,66.374336,59.644901,44.424625,47.049648,12.025928,26.047894
12/20/16,66.326431,59.986115,44.479473,47.222687,12.001987,24.807106
12/21/16,65.95285,59.75864,44.296616,47.126553,12.090386,25.822424
12/22/16,66.03907,59.644901,44.452045,47.030415,12.01672,25.822424
12/23/16,66.537178,59.701778,44.442898,47.078487,11.933846,25.822424
12/27/16,66.671288,59.824982,44.479473,47.270756,12.01672,25.822424
12/28/16,66.163589,59.199436,44.058903,46.847755,11.887805,25.822424
12/29/16,66.278542,59.180485,44.653187,46.857368,11.897013,25.822424
12/30/16,66.03907,58.97197,44.406326,46.492046,11.924638,25.257362
1/3/17,66.901192,59.322655,44.296616,46.905441,12.074732,25.257362
1/4/17,67.428047,59.67334,44.461185,47.068871,12.385049,25.257362
1/5/17,67.772911,59.502739,44.506905,47.145779,12.477131,25.921085
1/6/17,67.964478,59.843945,44.644047,47.491875,12.320591,25.921085
1/9/17,68.251862,59.37952,44.058903,47.482262,12.265342,25.921085
1/10/17,68.491356,59.625946,43.921764,47.491875,12.246925,25.921085
1/11/17,67.801628,59.938725,44.378902,47.712994,12.182467,25.921085
1/12/17,67.86869,59.692291,44.41547,47.597622,12.279154,25.921085
1/13/17,67.935745,59.919769,44.351467,47.741837,12.375839,25.921085
